"Statistics","date","values"
"Total Market Transactions (count)","2016-06 (Jun)",19734
"RESIDENTIAL TOTAL (count)","2016-06 (Jun)",19007
"RESIDENTIAL - ACREAGE (count)","2016-06 (Jun)",890
"RESIDENTIAL - COMMERCE (count)","2016-06 (Jun)",85
"RESIDENTIAL - FARM (count)","2016-06 (Jun)",193
"RESIDENTIAL - MULTI-FAMILY (count)","2016-06 (Jun)",136
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-06 (Jun)",10004
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-06 (Jun)",5796
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-06 (Jun)",277
"RESIDENTIAL - OTHER (count)","2016-06 (Jun)",1626
"COMMERCIAL TOTAL (count)","2016-06 (Jun)",429
"COMMERCIAL - COMMERCE (count)","2016-06 (Jun)",222
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-06 (Jun)",117
"COMMERCIAL - OTHER (count)","2016-06 (Jun)",90
"RECREATIONAL TOTAL (count)","2016-06 (Jun)",142
"FARM TOTAL (count)","2016-06 (Jun)",107
"OTHER/UNKNOWN TOTAL (count)","2016-06 (Jun)",49
"FMV Sum ($ sum)","2016-06 (Jun)",NA
"FMV Average ($ mean)","2016-06 (Jun)",NA
"FMV Median ($ median)","2016-06 (Jun)",NA
"PTT Paid ($ sum)","2016-06 (Jun)",NA
"PTT Paid Median ($ median)","2016-06 (Jun)",NA
"Foreign Involvement Transactions (count)","2016-06 (Jun)",1494
"Foreign Involvement transactions - Residential (count)","2016-06 (Jun)",1407
"Foreign Involvement transactions - Commercial (count)","2016-06 (Jun)",68
"Foreign Involvement transactions - Other (count)","2016-06 (Jun)",19
"FMV Sum of Foreign Involvement Transactions ($ sum)","2016-06 (Jun)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2016-06 (Jun)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2016-06 (Jun)",NA
"Under $1 million (count, foreign involvement transactions)","2016-06 (Jun)",1141
"$1 million - $3 million (count, foreign involvement transactions)","2016-06 (Jun)",286
"Over $3 million (count, foreign involvement transactions)","2016-06 (Jun)",67
"Additional Tax Paid ($ sum)","2016-06 (Jun)",NA
"Total Market Transactions (count)","2016-07 (Jul)",17951
"RESIDENTIAL TOTAL (count)","2016-07 (Jul)",17446
"RESIDENTIAL - ACREAGE (count)","2016-07 (Jul)",722
"RESIDENTIAL - COMMERCE (count)","2016-07 (Jul)",69
"RESIDENTIAL - FARM (count)","2016-07 (Jul)",103
"RESIDENTIAL - MULTI-FAMILY (count)","2016-07 (Jul)",120
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-07 (Jul)",9087
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-07 (Jul)",5478
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-07 (Jul)",91
"RESIDENTIAL - OTHER (count)","2016-07 (Jul)",1776
"COMMERCIAL TOTAL (count)","2016-07 (Jul)",285
"COMMERCIAL - COMMERCE (count)","2016-07 (Jul)",123
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-07 (Jul)",106
"COMMERCIAL - OTHER (count)","2016-07 (Jul)",56
"RECREATIONAL TOTAL (count)","2016-07 (Jul)",122
"FARM TOTAL (count)","2016-07 (Jul)",50
"OTHER/UNKNOWN TOTAL (count)","2016-07 (Jul)",48
"FMV Sum ($ sum)","2016-07 (Jul)",NA
"FMV Average ($ mean)","2016-07 (Jul)",NA
"FMV Median ($ median)","2016-07 (Jul)",NA
"PTT Paid ($ sum)","2016-07 (Jul)",NA
"PTT Paid Median ($ median)","2016-07 (Jul)",NA
"Foreign Involvement Transactions (count)","2016-07 (Jul)",1620
"Foreign Involvement transactions - Residential (count)","2016-07 (Jul)",1578
"Foreign Involvement transactions - Commercial (count)","2016-07 (Jul)",21
"Foreign Involvement transactions - Other (count)","2016-07 (Jul)",21
"FMV Sum of Foreign Involvement Transactions ($ sum)","2016-07 (Jul)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2016-07 (Jul)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2016-07 (Jul)",NA
"Under $1 million (count, foreign involvement transactions)","2016-07 (Jul)",1065
"$1 million - $3 million (count, foreign involvement transactions)","2016-07 (Jul)",460
"Over $3 million (count, foreign involvement transactions)","2016-07 (Jul)",95
"Additional Tax Paid ($ sum)","2016-07 (Jul)",NA
"Total Market Transactions (count)","2016-08 (Aug)",16304
"RESIDENTIAL TOTAL (count)","2016-08 (Aug)",15807
"RESIDENTIAL - ACREAGE (count)","2016-08 (Aug)",722
"RESIDENTIAL - COMMERCE (count)","2016-08 (Aug)",98
"RESIDENTIAL - FARM (count)","2016-08 (Aug)",121
"RESIDENTIAL - MULTI-FAMILY (count)","2016-08 (Aug)",103
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-08 (Aug)",8234
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-08 (Aug)",5038
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-08 (Aug)",96
"RESIDENTIAL - OTHER (count)","2016-08 (Aug)",1395
"COMMERCIAL TOTAL (count)","2016-08 (Aug)",301
"COMMERCIAL - COMMERCE (count)","2016-08 (Aug)",139
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-08 (Aug)",99
"COMMERCIAL - OTHER (count)","2016-08 (Aug)",63
"RECREATIONAL TOTAL (count)","2016-08 (Aug)",87
"FARM TOTAL (count)","2016-08 (Aug)",76
"OTHER/UNKNOWN TOTAL (count)","2016-08 (Aug)",33
"FMV Sum ($ sum)","2016-08 (Aug)",NA
"FMV Average ($ mean)","2016-08 (Aug)",NA
"FMV Median ($ median)","2016-08 (Aug)",NA
"PTT Paid ($ sum)","2016-08 (Aug)",NA
"PTT Paid Median ($ median)","2016-08 (Aug)",NA
"Foreign Involvement Transactions (count)","2016-08 (Aug)",254
"Foreign Involvement transactions - Residential (count)","2016-08 (Aug)",228
"Foreign Involvement transactions - Commercial (count)","2016-08 (Aug)",10
"Foreign Involvement transactions - Other (count)","2016-08 (Aug)",16
"FMV Sum of Foreign Involvement Transactions ($ sum)","2016-08 (Aug)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2016-08 (Aug)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2016-08 (Aug)",NA
"Under $1 million (count, foreign involvement transactions)","2016-08 (Aug)",195
"$1 million - $3 million (count, foreign involvement transactions)","2016-08 (Aug)",47
"Over $3 million (count, foreign involvement transactions)","2016-08 (Aug)",12
"Additional Tax Paid ($ sum)","2016-08 (Aug)",NA
"Total Market Transactions (count)","2016-09 (Sep)",14158
"RESIDENTIAL TOTAL (count)","2016-09 (Sep)",13505
"RESIDENTIAL - ACREAGE (count)","2016-09 (Sep)",681
"RESIDENTIAL - COMMERCE (count)","2016-09 (Sep)",73
"RESIDENTIAL - FARM (count)","2016-09 (Sep)",105
"RESIDENTIAL - MULTI-FAMILY (count)","2016-09 (Sep)",107
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-09 (Sep)",6068
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-09 (Sep)",4126
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-09 (Sep)",120
"RESIDENTIAL - OTHER (count)","2016-09 (Sep)",2225
"COMMERCIAL TOTAL (count)","2016-09 (Sep)",405
"COMMERCIAL - COMMERCE (count)","2016-09 (Sep)",217
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-09 (Sep)",97
"COMMERCIAL - OTHER (count)","2016-09 (Sep)",91
"RECREATIONAL TOTAL (count)","2016-09 (Sep)",119
"FARM TOTAL (count)","2016-09 (Sep)",84
"OTHER/UNKNOWN TOTAL (count)","2016-09 (Sep)",45
"FMV Sum ($ sum)","2016-09 (Sep)",NA
"FMV Average ($ mean)","2016-09 (Sep)",NA
"FMV Median ($ median)","2016-09 (Sep)",NA
"PTT Paid ($ sum)","2016-09 (Sep)",NA
"PTT Paid Median ($ median)","2016-09 (Sep)",NA
"Foreign Involvement Transactions (count)","2016-09 (Sep)",374
"Foreign Involvement transactions - Residential (count)","2016-09 (Sep)",283
"Foreign Involvement transactions - Commercial (count)","2016-09 (Sep)",61
"Foreign Involvement transactions - Other (count)","2016-09 (Sep)",30
"FMV Sum of Foreign Involvement Transactions ($ sum)","2016-09 (Sep)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2016-09 (Sep)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2016-09 (Sep)",NA
"Under $1 million (count, foreign involvement transactions)","2016-09 (Sep)",268
"$1 million - $3 million (count, foreign involvement transactions)","2016-09 (Sep)",59
"Over $3 million (count, foreign involvement transactions)","2016-09 (Sep)",47
"Additional Tax Paid ($ sum)","2016-09 (Sep)",NA
"Total Market Transactions (count)","2016-10 (Oct)",11688
"RESIDENTIAL TOTAL (count)","2016-10 (Oct)",11128
"RESIDENTIAL - ACREAGE (count)","2016-10 (Oct)",495
"RESIDENTIAL - COMMERCE (count)","2016-10 (Oct)",52
"RESIDENTIAL - FARM (count)","2016-10 (Oct)",77
"RESIDENTIAL - MULTI-FAMILY (count)","2016-10 (Oct)",63
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-10 (Oct)",4115
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-10 (Oct)",2671
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-10 (Oct)",76
"RESIDENTIAL - OTHER (count)","2016-10 (Oct)",3579
"COMMERCIAL TOTAL (count)","2016-10 (Oct)",313
"COMMERCIAL - COMMERCE (count)","2016-10 (Oct)",107
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-10 (Oct)",46
"COMMERCIAL - OTHER (count)","2016-10 (Oct)",160
"RECREATIONAL TOTAL (count)","2016-10 (Oct)",108
"FARM TOTAL (count)","2016-10 (Oct)",64
"OTHER/UNKNOWN TOTAL (count)","2016-10 (Oct)",75
"FMV Sum ($ sum)","2016-10 (Oct)",NA
"FMV Average ($ mean)","2016-10 (Oct)",NA
"FMV Median ($ median)","2016-10 (Oct)",NA
"PTT Paid ($ sum)","2016-10 (Oct)",NA
"PTT Paid Median ($ median)","2016-10 (Oct)",NA
"Foreign Involvement Transactions (count)","2016-10 (Oct)",378
"Foreign Involvement transactions - Residential (count)","2016-10 (Oct)",329
"Foreign Involvement transactions - Commercial (count)","2016-10 (Oct)",26
"Foreign Involvement transactions - Other (count)","2016-10 (Oct)",23
"FMV Sum of Foreign Involvement Transactions ($ sum)","2016-10 (Oct)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2016-10 (Oct)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2016-10 (Oct)",NA
"Under $1 million (count, foreign involvement transactions)","2016-10 (Oct)",296
"$1 million - $3 million (count, foreign involvement transactions)","2016-10 (Oct)",71
"Over $3 million (count, foreign involvement transactions)","2016-10 (Oct)",11
"Additional Tax Paid ($ sum)","2016-10 (Oct)",NA
"Total Market Transactions (count)","2016-11 (Nov)",11478
"RESIDENTIAL TOTAL (count)","2016-11 (Nov)",10942
"RESIDENTIAL - ACREAGE (count)","2016-11 (Nov)",555
"RESIDENTIAL - COMMERCE (count)","2016-11 (Nov)",76
"RESIDENTIAL - FARM (count)","2016-11 (Nov)",84
"RESIDENTIAL - MULTI-FAMILY (count)","2016-11 (Nov)",90
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-11 (Nov)",4646
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-11 (Nov)",3537
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-11 (Nov)",103
"RESIDENTIAL - OTHER (count)","2016-11 (Nov)",1851
"COMMERCIAL TOTAL (count)","2016-11 (Nov)",313
"COMMERCIAL - COMMERCE (count)","2016-11 (Nov)",135
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-11 (Nov)",109
"COMMERCIAL - OTHER (count)","2016-11 (Nov)",69
"RECREATIONAL TOTAL (count)","2016-11 (Nov)",105
"FARM TOTAL (count)","2016-11 (Nov)",74
"OTHER/UNKNOWN TOTAL (count)","2016-11 (Nov)",44
"FMV Sum ($ sum)","2016-11 (Nov)",NA
"FMV Average ($ mean)","2016-11 (Nov)",NA
"FMV Median ($ median)","2016-11 (Nov)",NA
"PTT Paid ($ sum)","2016-11 (Nov)",NA
"PTT Paid Median ($ median)","2016-11 (Nov)",NA
"Foreign Involvement Transactions (count)","2016-11 (Nov)",395
"Foreign Involvement transactions - Residential (count)","2016-11 (Nov)",350
"Foreign Involvement transactions - Commercial (count)","2016-11 (Nov)",14
"Foreign Involvement transactions - Other (count)","2016-11 (Nov)",31
"FMV Sum of Foreign Involvement Transactions ($ sum)","2016-11 (Nov)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2016-11 (Nov)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2016-11 (Nov)",NA
"Under $1 million (count, foreign involvement transactions)","2016-11 (Nov)",304
"$1 million - $3 million (count, foreign involvement transactions)","2016-11 (Nov)",82
"Over $3 million (count, foreign involvement transactions)","2016-11 (Nov)",8
"Additional Tax Paid ($ sum)","2016-11 (Nov)",NA
"Total Market Transactions (count)","2016-12 (Dec)",9336
"RESIDENTIAL TOTAL (count)","2016-12 (Dec)",8817
"RESIDENTIAL - ACREAGE (count)","2016-12 (Dec)",424
"RESIDENTIAL - COMMERCE (count)","2016-12 (Dec)",75
"RESIDENTIAL - FARM (count)","2016-12 (Dec)",60
"RESIDENTIAL - MULTI-FAMILY (count)","2016-12 (Dec)",67
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2016-12 (Dec)",3643
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2016-12 (Dec)",3118
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2016-12 (Dec)",169
"RESIDENTIAL - OTHER (count)","2016-12 (Dec)",1261
"COMMERCIAL TOTAL (count)","2016-12 (Dec)",333
"COMMERCIAL - COMMERCE (count)","2016-12 (Dec)",167
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2016-12 (Dec)",99
"COMMERCIAL - OTHER (count)","2016-12 (Dec)",67
"RECREATIONAL TOTAL (count)","2016-12 (Dec)",72
"FARM TOTAL (count)","2016-12 (Dec)",80
"OTHER/UNKNOWN TOTAL (count)","2016-12 (Dec)",34
"FMV Sum ($ sum)","2016-12 (Dec)",NA
"FMV Average ($ mean)","2016-12 (Dec)",NA
"FMV Median ($ median)","2016-12 (Dec)",NA
"PTT Paid ($ sum)","2016-12 (Dec)",NA
"PTT Paid Median ($ median)","2016-12 (Dec)",NA
"Foreign Involvement Transactions (count)","2016-12 (Dec)",386
"Foreign Involvement transactions - Residential (count)","2016-12 (Dec)",329
"Foreign Involvement transactions - Commercial (count)","2016-12 (Dec)",22
"Foreign Involvement transactions - Other (count)","2016-12 (Dec)",35
"FMV Sum of Foreign Involvement Transactions ($ sum)","2016-12 (Dec)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2016-12 (Dec)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2016-12 (Dec)",NA
"Under $1 million (count, foreign involvement transactions)","2016-12 (Dec)",329
"$1 million - $3 million (count, foreign involvement transactions)","2016-12 (Dec)",48
"Over $3 million (count, foreign involvement transactions)","2016-12 (Dec)",9
"Additional Tax Paid ($ sum)","2016-12 (Dec)",NA
"Total Market Transactions (count)","2017-01 (Jan)",7826
"RESIDENTIAL TOTAL (count)","2017-01 (Jan)",7378
"RESIDENTIAL - ACREAGE (count)","2017-01 (Jan)",307
"RESIDENTIAL - COMMERCE (count)","2017-01 (Jan)",45
"RESIDENTIAL - FARM (count)","2017-01 (Jan)",43
"RESIDENTIAL - MULTI-FAMILY (count)","2017-01 (Jan)",65
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-01 (Jan)",2708
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-01 (Jan)",2406
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-01 (Jan)",73
"RESIDENTIAL - OTHER (count)","2017-01 (Jan)",1731
"COMMERCIAL TOTAL (count)","2017-01 (Jan)",275
"COMMERCIAL - COMMERCE (count)","2017-01 (Jan)",128
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-01 (Jan)",67
"COMMERCIAL - OTHER (count)","2017-01 (Jan)",80
"RECREATIONAL TOTAL (count)","2017-01 (Jan)",101
"FARM TOTAL (count)","2017-01 (Jan)",53
"OTHER/UNKNOWN TOTAL (count)","2017-01 (Jan)",19
"FMV Sum ($ sum)","2017-01 (Jan)",NA
"FMV Average ($ mean)","2017-01 (Jan)",NA
"FMV Median ($ median)","2017-01 (Jan)",NA
"PTT Paid ($ sum)","2017-01 (Jan)",NA
"PTT Paid Median ($ median)","2017-01 (Jan)",NA
"Foreign Involvement Transactions (count)","2017-01 (Jan)",335
"Foreign Involvement transactions - Residential (count)","2017-01 (Jan)",273
"Foreign Involvement transactions - Commercial (count)","2017-01 (Jan)",4
"Foreign Involvement transactions - Other (count)","2017-01 (Jan)",58
"FMV Sum of Foreign Involvement Transactions ($ sum)","2017-01 (Jan)",NA
"FMV Average of Foreign Involvement Transactions ($ mean)","2017-01 (Jan)",NA
"FMV Median of Foreign Involvement Transactions ($ median)","2017-01 (Jan)",NA
"Under $1 million (count, foreign involvement transactions)","2017-01 (Jan)",289
"$1 million - $3 million (count, foreign involvement transactions)","2017-01 (Jan)",36
"Over $3 million (count, foreign involvement transactions)","2017-01 (Jan)",10
"Additional Tax Paid ($ sum)","2017-01 (Jan)",NA
"Total Market Transactions (count)","2017-02 (Feb)",7795
"RESIDENTIAL TOTAL (count)","2017-02 (Feb)",7351
"RESIDENTIAL - ACREAGE (count)","2017-02 (Feb)",348
"RESIDENTIAL - COMMERCE (count)","2017-02 (Feb)",46
"RESIDENTIAL - FARM (count)","2017-02 (Feb)",45
"RESIDENTIAL - MULTI-FAMILY (count)","2017-02 (Feb)",74
"RESIDENTIAL - SINGLE FAMILY RESIDENTIAL (count)","2017-02 (Feb)",3088
"RESIDENTIAL - STRATA RESIDENTIAL (count)","2017-02 (Feb)",2659
"RESIDENTIAL - STRATA NON-RESIDENTIAL or RENTAL (count)","2017-02 (Feb)",75
"RESIDENTIAL - OTHER (count)","2017-02 (Feb)",1016
"COMMERCIAL TOTAL (count)","2017-02 (Feb)",270
"COMMERCIAL - COMMERCE (count)","2017-02 (Feb)",131
"COMMERCIAL - STRATA NON-RESIDENTIAL (count)","2017-02 (Feb)",101
"COMMERCIAL - OTHER (count)","2017-02 (Feb)",38
"RECREATIONAL TOTAL (count)","2017-02 (Feb)",81
"FARM TOTAL (count)","2017-02 (Feb)",73
"OTHER/UNKNOWN TOTAL (count)","2017-02 (Feb)",20
